GO_id,GO_description,Pathway,Description,incorrect
GO:0033750,ribosome localization,Mitochondrial central dogma > Translation > Mitochondrial ribosome,"This term refers to the cellular positioning of ribosomes. In the context of mitochondrial pathways, it most directly relates to the localization and assembly of the mitochondrial ribosome.",False
GO:0001558,regulation of cell growth,No appropriate pathway,Mitochondria are central to energy production and metabolic signaling that profoundly influences and regulates overall cell growth.,False
GO:1901856,negative regulation of cellular respiration,OXPHOS,"This term directly describes the regulation of cellular respiration, which is the primary function of the mitochondrial OXPHOS system.",False
GO:0008301,"DNA binding, bending",Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid,"This term refers to the interaction of proteins with DNA, which is essential for the organization and compaction of mitochondrial DNA within the mtDNA nucleoid.",False
GO:0008234,cysteine-type peptidase activity,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","Cysteine-type peptidase activity is a specific class of protease activity, directly falling under the 'Proteases' category responsible for protein homeostasis within mitochondria.",False
GO:0008237,metallopeptidase activity,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","Metallopeptidase activity is a specific class of protease activity, directly falling under the 'Proteases' category responsible for protein homeostasis within mitochondria.",False
GO:0008296,3'-5'-DNA exonuclease activity,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,"This enzymatic activity is crucial for DNA proofreading and repair mechanisms, which are essential for maintaining the integrity of mitochondrial DNA.",False
GO:0048309,endoplasmic reticulum inheritance,No appropriate pathway,"This term describes the inheritance of the ER, a cellular process that can be influenced by and coordinated with mitochondrial dynamics and interactions with other organelles.",False
GO:0010636,positive regulation of mitochondrial fusion,Mitochondrial dynamics and surveillance > Fusion,"This term directly describes the positive regulation of mitochondrial fusion, a key process in mitochondrial dynamics explicitly listed in the hierarchy.",False
GO:0071629,cytoplasm protein quality control by the ubiquitin-proteasome system,No appropriate pathway,"While primarily cytoplasmic, the ubiquitin-proteasome system's protein quality control mechanisms are intimately linked to mitochondrial health and function, and can target mitochondrial outer membrane proteins or respond to mitochondrial stress.",False
GO:0007163,establishment or maintenance of cell polarity,No appropriate pathway,"Mitochondria are actively trafficked and localized within cells to support and maintain cell polarity, making this term relevant to mitochondrial dynamics and surveillance.",False
GO:0019395,fatty acid oxidation,Metabolism > Lipid metabolism > Fatty acid oxidation,"Fatty acid oxidation is a major catabolic pathway for lipids, occurring primarily in mitochondria, and is explicitly listed under lipid metabolism.",False
GO:0008137,NADH dehydrogenase (ubiquinone) activity,OXPHOS > Complex I,"This activity is characteristic of Complex I, a major component of the mitochondrial oxidative phosphorylation system, responsible for electron transfer from NADH to ubiquinone.",False
GO:0047617,fatty acyl-CoA hydrolase activity,Metabolism > Lipid metabolism > Fatty acid oxidation,"This enzyme activity is directly involved in the breakdown of fatty acids, a key process within mitochondrial fatty acid oxidation.",False
GO:0106414,mRNA dihydrouridine synthase activity,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"Dihydrouridine is a common modification in tRNA, and mitochondrial tRNAs undergo specific modifications essential for their function in mitochondrial translation.",False
GO:0097271,protein localization to bud neck,No appropriate pathway,"This process describes protein targeting to the bud neck in budding cells, which is a cytoplasmic and cell division-related event, not directly associated with mitochondrial pathways.",False
GO:1902603,carnitine transmembrane transport,Metabolism > Metals and cofactors > Carnitine synthesis and transport,"Carnitine transport is essential for the carnitine shuttle, which facilitates the import of fatty acids into the mitochondrial matrix for beta-oxidation.",False
GO:0007018,microtubule-based movement,Mitochondrial dynamics and surveillance > Trafficking,"Mitochondria undergo active transport along microtubules within the cell, a process crucial for their distribution and localization, falling under mitochondrial trafficking.",False
GO:0007030,Golgi organization,No appropriate pathway,"This process describes the structural organization of the Golgi apparatus, an organelle distinct from mitochondria and not directly part of mitochondrial pathways.",False
GO:0007035,vacuolar acidification,No appropriate pathway,"This process refers to the acidification of the vacuole (lysosome), a distinct organelle with functions separate from direct mitochondrial pathways.",False
GO:0007118,budding cell apical bud growth,No appropriate pathway,"This describes a specific aspect of cell growth and morphogenesis in budding cells, which is not a direct mitochondrial pathway.",False
GO:0044572,[4Fe-4S] cluster assembly,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,"Mitochondria are the primary site for the biosynthesis of iron-sulfur clusters, which are critical cofactors for numerous mitochondrial proteins, including those in OXPHOS.",False
GO:0003924,GTPase activity,Mitochondrial central dogma > Translation > Translation factors,"Many mitochondrial translation factors are GTPases, utilizing GTP hydrolysis to drive various steps of protein synthesis within the mitochondrial matrix.",False
GO:0009251,glucan catabolic process,No appropriate pathway,"While primary glucan catabolism often occurs outside mitochondria, it is a form of carbohydrate metabolism, and its products can feed into mitochondrial pathways like the TCA cycle.",False
GO:0015866,ADP transport,Small molecule transport > SLC25A family,"ADP transport into the mitochondrial matrix, primarily mediated by the ADP/ATP translocase (a member of the SLC25A family), is crucial for providing substrate for ATP synthesis by Complex V.",False
GO:0036266,Cdc48p-Npl4p-Vms1p AAA ATPase complex,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","The Cdc48p-Npl4p-Vms1p complex, particularly Vms1p, is involved in mitochondrial protein quality control, including the degradation of aberrant proteins and disassembly of stalled ribosomes, thus contributing to mitochondrial protein homeostasis.",False
GO:0000252,3-beta-hydroxysteroid dehydrogenase [NAD(P)+]/C4-decarboxylase activity,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis","This enzyme activity is directly involved in the biosynthesis and metabolism of steroids, a process that can occur within mitochondria.",False
GO:0090141,positive regulation of mitochondrial fission,Mitochondrial dynamics and surveillance > Fission,"This term directly describes the regulation of mitochondrial fission, a key process in mitochondrial dynamics and morphology.",False
GO:0090114,COPII-coated vesicle budding,No appropriate pathway,"This process describes vesicle formation from the endoplasmic reticulum, a pathway distinct from direct mitochondrial functions.",False
GO:1905347,endodeoxyribonuclease complex,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,"Endodeoxyribonucleases are crucial for DNA repair and processing, including the maintenance and repair of mitochondrial DNA.",False
GO:0002144,cytosolic tRNA wobble base thiouridylase complex,No appropriate pathway,"This complex specifically modifies cytosolic tRNAs, indicating it is not directly involved in mitochondrial tRNA metabolism or other mitochondrial pathways.",False
GO:0000064,L-ornithine transmembrane transporter activity,Metabolism > Amino acid metabolism > Urea cycle,"L-ornithine transmembrane transport is essential for the mitochondrial portion of the urea cycle, where ornithine is transported into the matrix to be converted to citrulline.",False
GO:0006031,chitin biosynthetic process,No appropriate pathway,"Chitin is a polysaccharide, and its biosynthesis is a metabolic process. While not typically a mitochondrial process, 'Carbohydrate metabolism' is the most appropriate general category within the provided mitochondrial hierarchy for a biosynthetic process involving carbohydrates.",False
GO:0006085,acetyl-CoA biosynthetic process,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,"Acetyl-CoA is a key metabolic intermediate produced in the mitochondria, notably from pyruvate via the pyruvate dehydrogenase complex, which is a central part of pyruvate metabolism.",False
GO:0008360,regulation of cell shape,No appropriate pathway,"While a broad cellular process, mitochondrial dynamics (fusion, fission, trafficking) and their interactions with the cytoskeleton can influence and contribute to the overall regulation of cell shape.",False
GO:0008242,omega peptidase activity,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","Omega peptidase activity refers to the catalytic function of a protease. Mitochondria contain various proteases involved in protein quality control and processing, which falls under protein homeostasis.",False
GO:0045144,meiotic sister chromatid segregation,No appropriate pathway,"Meiotic sister chromatid segregation is a fundamental process of cell division. While primarily nuclear, mitochondrial function and dynamics are crucial for providing energy and coordinating cellular events during cell division, broadly relating to cellular surveillance and fate processes.",False
GO:0035336,long-chain fatty-acyl-CoA metabolic process,Metabolism > Lipid metabolism > Fatty acid oxidation,"Long-chain fatty-acyl-CoA metabolic processes in mitochondria primarily involve their beta-oxidation for energy production, which is a core part of mitochondrial fatty acid metabolism.",False
GO:0072488,ammonium transmembrane transport,Small molecule transport,"Ammonium transmembrane transport involves the movement of a small molecule across a membrane. Mitochondria are involved in nitrogen metabolism, and the transport of ammonium ions across the mitochondrial membranes is a specific instance of small molecule transport.",False
GO:0000906,"6,7-dimethyl-8-ribityllumazine synthase activity",Metabolism > Vitamin metabolism > Vitamin B2 metabolism,"6,7-dimethyl-8-ribityllumazine synthase is an enzyme directly involved in the biosynthesis of riboflavin (Vitamin B2), placing it squarely within vitamin B2 metabolism.",False
GO:0000917,division septum assembly,No appropriate pathway,"Division septum assembly is a structural process critical for cell division. While not directly mitochondrial, mitochondrial dynamics and energy supply are essential for coordinating cell division, broadly relating to cellular surveillance and structural changes.",False
GO:0009231,riboflavin biosynthetic process,Metabolism > Vitamin metabolism > Vitamin B2 metabolism,"Riboflavin biosynthetic process is the pathway for synthesizing Vitamin B2, which is explicitly covered under vitamin B2 metabolism.",False
GO:0000750,pheromone-dependent signal transduction involved in conjugation with cellular fusion,No appropriate pathway,"This GO term describes a specific type of signal transduction pathway. While the specific mechanism (pheromone-dependent, conjugation, cellular fusion) is not detailed in the mitochondrial hierarchy, the overarching process is 'Signaling'.",False
GO:0007010,cytoskeleton organization,No appropriate pathway,"Mitochondria interact extensively with the cytoskeleton for their movement, distribution, and morphology. The organization of the cytoskeleton is critical for mitochondrial trafficking and overall mitochondrial dynamics within the cell.",False
GO:0007165,signal transduction,Signaling,"Signal transduction is a broad cellular process involving the transmission of signals. Mitochondria are key players in various cellular signaling pathways, making 'Signaling' the most appropriate general category.",False
GO:0034476,U5 snRNA 3'-end processing,No appropriate pathway,"U5 snRNA 3'-end processing is an RNA processing event. While this specific snRNA processing occurs in the nucleus, 'mtRNA metabolism' is the only category within the provided mitochondrial hierarchy that broadly addresses RNA processing, serving as the closest functional match despite the difference in cellular compartment.",False
GO:0019521,D-gluconate metabolic process,Metabolism > Carbohydrate metabolism,D-gluconate metabolic process involves the breakdown or synthesis of a carbohydrate-related compound. 'Carbohydrate metabolism' is the most appropriate general category within the mitochondrial hierarchy.,False
GO:0032511,late endosome to vacuole transport via multivesicular body sorting pathway,No appropriate pathway,"This GO term describes a specific intracellular trafficking pathway. While it refers to endosome-to-vacuole transport, 'Trafficking' within the mitochondrial dynamics category is the most general functional match for the movement and sorting of cellular components.",False
GO:0019541,propionate metabolic process,Metabolism > Carbohydrate metabolism > Propanoate metabolism,"Propionate metabolic process is a well-established mitochondrial pathway for the breakdown of propionate, which is explicitly listed under propanoate metabolism.",False
GO:0032473,cytoplasmic side of mitochondrial outer membrane,"Protein import, sorting and homeostasis > Protein import and sorting","The cytoplasmic side of the mitochondrial outer membrane is the primary interface for the import of most mitochondrial proteins, where they are recognized and translocated into the organelle.",False
GO:0046943,carboxylic acid transmembrane transporter activity,Small molecule transport > SLC25A family,"Many carboxylic acids are transported across mitochondrial membranes by members of the SLC25A family of mitochondrial carriers, making this the most specific pathway for such transporter activity.",False
GO:0071913,citrate secondary active transmembrane transporter activity,Small molecule transport > SLC25A family,"Citrate secondary active transmembrane transporter activity specifically refers to the transport of citrate across mitochondrial membranes, a function primarily carried out by members of the SLC25A family of mitochondrial carriers (e.g., the citrate carrier, SLC25A1).",False
GO:0090266,regulation of mitotic cell cycle spindle assembly checkpoint,No appropriate pathway,"While the spindle assembly checkpoint is a nuclear process, its failure can lead to apoptosis, a process heavily regulated by mitochondria.",False
GO:0005262,calcium channel activity,Small molecule transport > Calcium uniporter,"Mitochondria possess specific calcium channels, such as the mitochondrial calcium uniporter, to regulate intracellular calcium levels, which is a form of small molecule transport.",False
GO:0005094,Rho GDP-dissociation inhibitor activity,No appropriate pathway,"Rho GTPases and their regulators (like GDIs) are involved in various cellular signaling pathways, and while not exclusively mitochondrial, mitochondria interact with and influence broader cellular signaling networks.",False
GO:0140466,iron-sulfur cluster export from the mitochondrion,Metabolism > Metals and cofactors > Iron homeostasis,"Iron-sulfur clusters are synthesized in the mitochondrion and then exported to the cytosol for various cellular functions, making their export a critical aspect of cellular iron homeostasis.",False
GO:0015095,magnesium ion transmembrane transporter activity,Small molecule transport,"Mitochondria regulate the transport of various ions, including magnesium, across their membranes, which is a fundamental aspect of small molecule transport.",False
GO:0005525,GTP binding,Mitochondrial central dogma > Translation > Translation factors,"GTP binding is a crucial molecular function for many mitochondrial translation factors, which are essential for protein synthesis within the organelle.",False
GO:0005975,carbohydrate metabolic process,Metabolism > Carbohydrate metabolism,"Mitochondria are central to various carbohydrate metabolic processes, including glycolysis (indirectly via pyruvate import), the TCA cycle, and gluconeogenesis.",False
GO:0031201,SNARE complex,No appropriate pathway,"SNARE complexes are primarily involved in membrane fusion events in other cellular compartments. While mitochondria undergo fusion, it is mediated by different protein families (e.g., mitofusins, OPA1), but the general concept of membrane dynamics falls under this category.",False
GO:0070525,tRNA threonylcarbamoyladenosine metabolic process,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"Mitochondria have their own tRNAs that undergo specific modifications, such as threonylcarbamoyladenosine, which are crucial for efficient mitochondrial translation.",False
GO:0030246,carbohydrate binding,Metabolism > Carbohydrate metabolism,"Proteins involved in carbohydrate binding can play roles in the transport or recognition of carbohydrates and their derivatives, which are central to mitochondrial carbohydrate metabolism.",False
GO:0006127,glycerol-3-phosphate shuttle,Metabolism > Carbohydrate metabolism > Glycerol phosphate shuttle,The glycerol-3-phosphate shuttle is a key pathway in carbohydrate metabolism that facilitates the transfer of reducing equivalents from the cytosol into the mitochondrion.,False
GO:0006107,oxaloacetate metabolic process,Metabolism > Carbohydrate metabolism > TCA cycle,"Oxaloacetate is a crucial intermediate in the mitochondrial TCA cycle, where it condenses with acetyl-CoA to initiate the cycle.",False
GO:0043069,negative regulation of programmed cell death,Mitochondrial dynamics and surveillance > Apoptosis,"Mitochondria play a central role in the intrinsic pathway of apoptosis, and their regulation, including negative regulation of programmed cell death, is critical for cell survival.",False
GO:0006368,transcription elongation by RNA polymerase II,No appropriate pathway,"RNA polymerase II is responsible for transcription in the nucleus, not in mitochondria. While mitochondria have their own transcription machinery, this GO term refers to a nuclear process, making it a general fit under the broader concept of gene expression.",False
GO:0033328,peroxisome membrane targeting sequence binding,"Protein import, sorting and homeostasis","This GO term describes the binding of targeting sequences for peroxisomal proteins, indicating a process related to peroxisome biogenesis and protein import, which is conceptually similar to mitochondrial protein import and sorting.",False
GO:0045324,late endosome to vacuole transport,No appropriate pathway,"This GO term describes transport within the endo-lysosomal system. While not directly mitochondrial, it represents a form of organelle trafficking, which is a broader concept covered under mitochondrial dynamics and surveillance.",False
GO:1901710,regulation of homoserine biosynthetic process,Metabolism > Amino acid metabolism,"Homoserine is an intermediate in the biosynthesis of several amino acids, and amino acid metabolism is a significant function carried out or regulated by mitochondria.",False
GO:0045727,positive regulation of translation,Mitochondrial central dogma > Translation,"Mitochondria possess their own translational machinery, and the regulation of this process is crucial for the synthesis of mitochondrially encoded proteins.",False
GO:2000232,regulation of rRNA processing,Mitochondrial central dogma > mtRNA metabolism,"Mitochondria synthesize their own ribosomal RNAs (mt-rRNAs) from polycistronic transcripts, and the processing and maturation of these rRNAs are essential steps in mitochondrial gene expression.",False
GO:0047046,homoisocitrate dehydrogenase activity,Metabolism > Amino acid metabolism > Lysine metabolism,"Homoisocitrate dehydrogenase is an enzyme involved in the biosynthesis of lysine, an amino acid metabolic pathway that can occur in or be linked to mitochondrial functions.",False
GO:0072711,cellular response to hydroxyurea,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,"Hydroxyurea inhibits DNA replication, leading to DNA damage. Mitochondria possess their own DNA and repair mechanisms to respond to such stress.",False
GO:0045259,proton-transporting ATP synthase complex,OXPHOS > Complex V,"This GO term directly refers to Complex V (ATP synthase), a core component of the mitochondrial oxidative phosphorylation system.",False
GO:0008535,respiratory chain complex IV assembly,OXPHOS > Complex IV > CIV assembly factors,"This GO term explicitly describes the assembly process for Complex IV, a specific component of the mitochondrial respiratory chain.",False
GO:0008195,phosphatidate phosphatase activity,Metabolism > Lipid metabolism > Phospholipid metabolism,"Phosphatidate phosphatase is involved in the synthesis of diacylglycerol, a precursor for various phospholipids, including those synthesized in mitochondria like cardiolipin.",False
GO:1990748,cellular detoxification,Metabolism > Detoxification,"Mitochondria play a significant role in cellular detoxification, including the metabolism of reactive oxygen species and xenobiotics.",False
GO:0000791,euchromatin,No appropriate pathway,"While euchromatin is a nuclear structure, this category represents the organization of genetic material within mitochondria (mtDNA nucleoid), which is the closest conceptual parallel for a GO term describing genetic material structure.",False
GO:0007026,negative regulation of microtubule depolymerization,Mitochondrial dynamics and surveillance > Trafficking,"Microtubules are crucial for the intracellular transport and positioning of mitochondria, so their regulation directly impacts mitochondrial trafficking.",False
GO:0032040,small-subunit processome,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,"This term describes the assembly of ribosomal subunits. Mitochondria have their own ribosomes, and their assembly is a fundamental part of mitochondrial translation.",False
GO:0071586,CAAX-box protein processing,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","CAAX-box protein processing involves proteolytic cleavage. Proteases are key components of mitochondrial protein homeostasis, responsible for protein processing and degradation.",False
GO:0005034,osmosensor activity,Signaling,"Mitochondria respond to osmotic changes, which can influence their function and integrity, often involving signaling pathways.",False
GO:1990610,acetolactate synthase regulator activity,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,"Although acetolactate synthase is involved in branched-chain amino acid synthesis (not in mammalian mitochondria), the term relates to the metabolism of these amino acids, which are catabolized in mitochondria.",False
GO:0050406,[acetyl-CoA carboxylase]-phosphatase activity,Metabolism > Lipid metabolism > Fatty acid oxidation,"Acetyl-CoA carboxylase (ACC2) is a mitochondrial enzyme whose activity, regulated by phosphatases, controls malonyl-CoA levels and thus impacts mitochondrial fatty acid oxidation.",False
GO:0006621,protein retention in ER lumen,No appropriate pathway,"This term describes a general cellular process of protein handling and quality control. While specific to the ER, it falls under the broad category of protein homeostasis, which is also critical for mitochondrial function.",False
GO:0016050,vesicle organization,Mitochondrial dynamics and surveillance > Trafficking,"Mitochondria are involved in vesicle-mediated processes, such as the formation of mitochondrial-derived vesicles (MDVs) for quality control and communication, which relates to cellular trafficking.",False
GO:0004045,peptidyl-tRNA hydrolase activity,Mitochondrial central dogma > Translation,"Peptidyl-tRNA hydrolase is a quality control enzyme that rescues stalled ribosomes by releasing prematurely terminated peptides, a process relevant to mitochondrial translation.",False
GO:0015793,glycerol transmembrane transport,Metabolism > Carbohydrate metabolism > Glycerol phosphate shuttle,"Glycerol transport is essential for the mitochondrial glycerol phosphate shuttle, which links cytosolic and mitochondrial carbohydrate metabolism.",False
GO:0097745,mitochondrial tRNA 5'-end processing,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing,"This GO term explicitly describes a key step in the maturation of mitochondrial tRNAs, which are processed from larger polycistronic transcripts.",False
GO:0015805,S-adenosyl-L-methionine transport,Small molecule transport > SLC25A family,"S-adenosyl-L-methionine (SAM) is transported into mitochondria by specific carriers, such as members of the SLC25A family (e.g., SLC25A26), for various methylation reactions.",False
GO:1902558,5'-adenylyl sulfate transmembrane transport,Small molecule transport,"This term describes the movement of 5'-adenylyl sulfate across membranes, which is a specific instance of small molecule transport relevant to mitochondrial sulfur metabolism.",False
GO:0036440,citrate synthase activity,Metabolism > Carbohydrate metabolism > TCA cycle,"Citrate synthase is the first enzyme of the mitochondrial TCA cycle, catalyzing the formation of citrate from acetyl-CoA and oxaloacetate.",False
GO:0043254,regulation of protein-containing complex assembly,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones","Chaperones play a crucial role in assisting and regulating the assembly of protein complexes, ensuring proper folding and preventing aggregation within the mitochondrion.",False
GO:0031297,replication fork processing,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication,"Replication fork processing is an essential step in DNA replication, directly applicable to the maintenance and duplication of mitochondrial DNA (mtDNA).",False
GO:0070585,protein localization to mitochondrion,"Protein import, sorting and homeostasis > Protein import and sorting","This GO term directly describes the process by which proteins are targeted to and imported into the mitochondrion, a core function of the 'Protein import and sorting' pathway.",False
GO:0005342,obsolete organic acid transmembrane transporter activity,Small molecule transport > SLC25A family,"Mitochondria utilize numerous organic acid transporters, many belonging to the SLC25A family, to facilitate metabolite exchange across their membranes.",False
GO:0006033,chitin localization,Metabolism > Carbohydrate metabolism,"Chitin is a polysaccharide primarily found in fungal cell walls and arthropod exoskeletons, not typically associated with mammalian mitochondrial biology. It is assigned to carbohydrate metabolism as the most general metabolic category for a polysaccharide within the provided hierarchy, acknowledging its non-mitochondrial nature.",False
GO:0006097,glyoxylate cycle,Metabolism > Amino acid metabolism > Glyoxylate metabolism,"The glyoxylate cycle is a metabolic pathway, and 'Glyoxylate metabolism' is explicitly listed as a sub-pathway under mitochondrial amino acid metabolism.",False
GO:0043023,ribosomal large subunit binding,Mitochondrial central dogma > Translation > Mitochondrial ribosome,"Mitochondria possess their own ribosomes (mitoribosomes) composed of large and small subunits, essential for mitochondrial protein synthesis.",False
GO:0070250,mating projection membrane,No appropriate pathway,"Mating projection formation is a cellular response to external cues, involving complex signaling pathways. While not directly mitochondrial, 'Signaling' is the most appropriate general category for a cellular response within the hierarchy.",False
GO:0045275,respiratory chain complex III,OXPHOS > Complex III,"This GO term directly refers to Complex III, a specific component of the mitochondrial oxidative phosphorylation (OXPHOS) system.",False
GO:0070189,kynurenine metabolic process,Metabolism > Amino acid metabolism > Kynurenine metabolism,"Kynurenine metabolism is a specific pathway for tryptophan degradation, with key steps occurring in the mitochondrion, and is explicitly listed in the hierarchy.",False
GO:0050567,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity,Mitochondrial central dogma > Translation > mt-tRNA synthetases,"Mitochondria have their own set of aminoacyl-tRNA synthetases, including glutaminyl-tRNA synthase, crucial for charging tRNAs for mitochondrial translation.",False
GO:0070095,fructose-6-phosphate binding,Metabolism > Carbohydrate metabolism > Gluconeogenesis,"Fructose-6-phosphate is a key intermediate in carbohydrate metabolism, particularly in gluconeogenesis, a pathway with mitochondrial involvement.",False
GO:0000839,Hrd1p ubiquitin ligase ERAD-L complex,No appropriate pathway,"Hrd1p is involved in ER-associated degradation (ERAD), a protein quality control mechanism. While specific to the ER, 'Protein homeostasis' is the most general category for protein quality control within the mitochondrial hierarchy.",False
GO:0140351,glycosylceramide flippase activity,No appropriate pathway,"Glycosylceramides are a type of lipid, and flippase activity relates to lipid transport. While typically associated with other cellular membranes, 'Lipid metabolism' is the most appropriate general category for lipid-related processes within the mitochondrial hierarchy.",False
GO:0032509,endosome transport via multivesicular body sorting pathway,No appropriate pathway,"This term describes a form of intracellular transport. While specific to endosomes, 'Trafficking' under 'Mitochondrial dynamics and surveillance' is the most general category for cellular transport processes within the hierarchy.",False
GO:0044613,nuclear pore central transport channel,No appropriate pathway,"The nuclear pore complex mediates transport of proteins and other molecules between the nucleus and cytoplasm. While not mitochondrial, 'Protein import, sorting and homeostasis' is the most general category related to protein movement and cellular organization within the hierarchy.",False
GO:0140104,molecular carrier activity,Small molecule transport,"Mitochondria are rich in various molecular carriers that transport ions, metabolites, and other small molecules across their membranes, making 'Small molecule transport' a direct fit.",False
GO:0022904,respiratory electron transport chain,OXPHOS,"The respiratory electron transport chain is the central component of oxidative phosphorylation (OXPHOS), responsible for ATP production in mitochondria.",False
GO:0022900,electron transport chain,OXPHOS,"In the context of mitochondria, the electron transport chain primarily refers to the respiratory electron transport chain, which is integral to oxidative phosphorylation (OXPHOS).",False
GO:0019236,response to pheromone,No appropriate pathway,Response to pheromone is a type of cellular signaling and communication. 'Signaling' is the most appropriate general category for such cellular responses within the mitochondrial pathway hierarchy.,False
GO:0003941,L-serine ammonia-lyase activity,Metabolism > Amino acid metabolism > Serine metabolism,"This enzyme activity is directly involved in the catabolism of L-serine, a process categorized under serine metabolism.",False
GO:0015934,large ribosomal subunit,Mitochondrial central dogma > Translation > Mitochondrial ribosome,"The large ribosomal subunit is a fundamental component of the ribosome, essential for protein translation, specifically within the mitochondrial ribosome.",False
GO:0006696,ergosterol biosynthetic process,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis","Ergosterol is a sterol, and its biosynthesis is analogous to cholesterol and other steroid synthesis pathways, which are grouped under lipid metabolism.",False
GO:0016020,membrane,No appropriate pathway,"While 'membrane' is a cellular component, its formation, remodeling, and interactions (e.g., cristae formation, fusion, fission, contact sites) are crucial dynamic processes of mitochondria, best encompassed by mitochondrial dynamics and surveillance.",False
GO:0043577,chemotropism,Mitochondrial dynamics and surveillance > Trafficking,"Chemotropism describes directional movement in response to chemical stimuli. Mitochondrial trafficking within the cell can be guided by such cues, making it a relevant aspect of mitochondrial dynamics and movement.",False
GO:0006744,ubiquinone biosynthetic process,Metabolism > Metals and cofactors > Coenzyme Q metabolism,"Ubiquinone (Coenzyme Q) is a vital electron carrier, and its biosynthesis is a specific metabolic pathway for coenzyme production.",False
GO:0015709,thiosulfate transport,Small molecule transport,"This term describes the movement of thiosulfate, a small molecule, across membranes, fitting the general category of small molecule transport.",False
GO:1902047,polyamine transmembrane transport,Small molecule transport,"Polyamines are small organic molecules, and their transmembrane transport is a specific instance of small molecule transport.",False
GO:1990531,phospholipid-translocating ATPase complex,Metabolism > Lipid metabolism > Phospholipid metabolism,"This complex is directly involved in the movement and distribution of phospholipids, which is a key aspect of phospholipid metabolism and membrane homeostasis.",False
GO:0001409,guanine nucleotide transmembrane transporter activity,Metabolism > Nucleotide metabolism > Nucleotide import,"This activity describes the transport of guanine nucleotides across a membrane, which is a form of nucleotide import essential for mitochondrial nucleotide metabolism.",False
GO:0009313,oligosaccharide catabolic process,Metabolism > Carbohydrate metabolism,"This term describes the breakdown of oligosaccharides, which is a fundamental process within carbohydrate metabolism.",False
GO:0000422,autophagy of mitochondrion,Mitochondrial dynamics and surveillance > Mitophagy,"This GO term is a direct synonym for mitophagy, the selective degradation of mitochondria by autophagy, a key process in mitochondrial quality control.",False
GO:0004540,RNA nuclease activity,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,"RNA nuclease activity is essential for the degradation and processing of mitochondrial RNA, directly impacting mtRNA stability and decay.",False
GO:0006523,alanine biosynthetic process,Metabolism > Amino acid metabolism,"This describes the synthesis of alanine, which is an amino acid, thus falling under general amino acid metabolism.",False
GO:0004408,holocytochrome-c synthase activity,OXPHOS > Cytochrome C,"This enzyme is responsible for the synthesis of holocytochrome c, the functional form of Cytochrome C, a crucial electron carrier in the OXPHOS pathway.",False
GO:0004449,isocitrate dehydrogenase (NAD+) activity,Metabolism > Carbohydrate metabolism > TCA cycle,"This enzyme catalyzes a key step in the TCA cycle (Krebs cycle), a central pathway in carbohydrate metabolism.",False
GO:0016363,nuclear matrix,No appropriate pathway,"The nuclear matrix is a nuclear component involved in nuclear processes that ultimately regulate mitochondrial biogenesis and function. While not directly mitochondrial, these nuclear functions can be broadly considered under cellular signaling pathways that impact mitochondria.",False
GO:0004365,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity,Metabolism > Carbohydrate metabolism,"This enzyme is a key component of glycolysis, a central pathway in carbohydrate metabolism that produces precursors for mitochondrial energy production.",False
GO:0004375,glycine dehydrogenase (decarboxylating) activity,Metabolism > Amino acid metabolism > Glycine cleavage system,"This enzyme is a key component of the glycine cleavage system, which is central to glycine metabolism.",False
GO:0036009,protein-glutamine N-methyltransferase activity,"Protein import, sorting and homeostasis > Protein homeostasis","This activity involves post-translational modification of proteins (methylation), which is a key aspect of maintaining protein function, stability, and turnover, thus falling under protein homeostasis.",False
GO:0160151,tRNA pseudouridine(32) synthase activity,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"This enzyme modifies mitochondrial tRNA, which is a specific process within mitochondrial RNA metabolism.",False
GO:0003989,acetyl-CoA carboxylase activity,Metabolism > Lipid metabolism > Type II fatty acid synthesis,"Acetyl-CoA carboxylase is a key enzyme in fatty acid synthesis, and Type II fatty acid synthesis is a mitochondrial pathway.",False
